program.name,matched.program,score
CNN INTERNATIONALASIA TONIGHT,CNN INTERNAITONAL ASIA TONIGHT,81
CNN INTERNATIONAL INSIDE AFRICA,CNN International Inside Asia,93
CNN INTERNATIONAL INSIDE AFRICA,CNN INTERNATIONAL INSIDE ASIA,93
CNN INTERNAITONAL ASIA TONIGHT,CNN INTERNATIONAL ASIA TONIGHT,97
CNN INTERNAITONAL ASIA TONIGHT,CNN INTERNATIONALASIA TONIGHT,81
CNN CNNdotCOM,CNNdotCOM,82
BIZ ASIA,EBIZ ASIA,94
CNN SHOWBIZ THIS WEEKEND,Showbiz This Week,83
CNN WORLDBEAT,WorldBeat,82
INSIDE ASIA,INSIDE AFRICA,83
EBIZ ASIA,BIZ ASIA,94
INSIDE AFRICA,INSIDE ASIA,83
CNN WORLDVIEW,WorldView,82
FIRST EVENING NEWS,CNN FIRST EVENING NEWS,90
LIVE EVENT/SPECIAL,CNN LIVE EVENT/SPECIAL,90
LIVE EVENT/SPECIAL,CNN Live Event/Special,90
LIVE EVENT/SPECIAL,Special Event,84
CNN FIRST EVENING NEWS,FIRST EVENING NEWS,90
CNN DIPLOMATIC LICENSE,DIPLOMATIC LICENSE,90
DIPLOMATIC LICENSE,CNN DIPLOMATIC LICENSE,90
CNN AMERICA STRIKES BACK,CNN AMERICAN STORIES,82
"CNN NOVAK, HUNT & SHIELDS","CNN EVANS, NOVAK, HUNT & SHIELDS",88
"CNN NOVAK, HUNT & SHIELDS","Evans, Novak, Hunt & Shields",87
CNN DAYBREAK,CNN AT DAYBREAK,89
CNN NEWSNIGHT WITH AARON BROWN,CNN NEWSNIGHT AARON BROWN,91
CNN NEWSNIGHT WITH AARON BROWN,CNN NEWS NIGHT AARON BROWN,89
CNN NEWS NIGHT AARON BROWN,CNN NEWSNIGHT AARON BROWN,98
CNN NEWS NIGHT AARON BROWN,CNN NEWSNIGHT WITH AARON BROWN,89
CNN NEWSNIGHT AARON BROWN,CNN NEWS NIGHT AARON BROWN,98
CNN NEWSNIGHT AARON BROWN,CNN NEWSNIGHT WITH AARON BROWN,91
CNN AT DAYBREAK,CNN DAYBREAK,89
CNN AT DAYBREAK,CNN LIVE AT DAYBREAK,86
MORNINGS WITH PAULA ZAHN,AMERICAN MORNING WITH PAULA ZAHN,82
TARGET: TERRORISM,CNN TARGET: TERRORISM,89
SPECIAL REPORT,CNN SPECIAL REPORTS,85
SPECIAL REPORT,CNN Special Reports,85
CNN LIVE FROM AFGHANISTAN,LIVE FROM AFGHANISTAN,91
CNN THE POINT,THE POINT,82
AMERICAN MORNING WITH PAULA ZAHN,CNN AMERICAN MORNING WITH PAULA ZAHN,94
AMERICAN MORNING WITH PAULA ZAHN,MORNINGS WITH PAULA ZAHN,82
CNN STUDENT NEWS,STUDENT NEWS,86
CNN STUDENT NEWS,CNN NEWS SITE,83
LIVE FROM AFGHANISTAN,CNN LIVE FROM AFGHANISTAN,91
LIVE ON LOCATION,CNN LIVE ON LOCATION,89
CNN SATURDAY NIGHT,CNN SUNDAY NIGHT,88
CNN SATURDAY NIGHT,CNN SATURDAY EVENING,84
CNN SUNDAY NIGHT,CNN SATURDAY NIGHT,88
CNN SUNDAY NIGHT,CNN SUNDAY MORNING,82
CNN SUNDAY NIGHT,CNN SUNDAY EVENING,82
THE POINT,CNN THE POINT,82
CNN TARGET: TERRORISM,TARGET: TERRORISM,89
AMERICAN STORIES,CNN AMERICAN STORIES,89
AMERICAN STORIES,AMERICA`S VOICES,81
CNN AMERICAN MORNING WITH PAULA ZAHN,AMERICAN MORNING WITH PAULA ZAHN,94
CNN LIVE ON LOCATION,LIVE ON LOCATION,89
CNN AMERICAN STORIES,AMERICAN STORIES,89
CNN AMERICAN STORIES,CNN AMERICA STRIKES BACK,82
CNN PEOPLE IN THE NEWS,PEOPLE IN THE NEWS,90
CNN SHOWDOWN ON IRAQ,CNN SHOWDOWN: IRAQ,92
CNN SHOWDOWN: IRAQ,CNN SHOWDOWN ON IRAQ,92
BUSINESS TRAVELLER,BUSINESS TRAVELER,97
CNN IN THE MONEY,IN THE MONEY,86
CNN WITH ZAIN VERJEE AND JIM CLANCY,Q&A; WITH ZAIN VERJEE AND JIM CLANCY,89
CNN ON THE STORY,ON THE STORY,86
BUSINESS TRAVELER,BUSINESS TRAVELLER,97
Q&A; WITH ZAIN VERJEE AND JIM CLANCY,CNN WITH ZAIN VERJEE AND JIM CLANCY,89
CNN SUNDAY EVENING,CNN SATURDAY EVENING,89
CNN SUNDAY EVENING,CNN SUNDAY MORNING,83
CNN SUNDAY EVENING,CNN SUNDAY NIGHT,82
JUDY WOODRUFFS'S INSIDE POLITICS,JUDY WOODRUFF'S INSIDE POLITICS,98
JUDY WOODRUFF'S INSIDE POLITICS,JUDY WOODRUFFS'S INSIDE POLITICS,98
CNN LIVE SATURDAY,CNN LIVE SUNDAY,88
CNN LIVE SATURDAY,CNN LIVE TODAY,84
CNN LIVE SATURDAY,CNN SATURDAY,83
CNN LIVE SATURDAY,CNN SATURDAY EVENING,81
ON THE STORY,CNN ON THE STORY,86
CNN LIVE SUNDAY,CNN LIVE SATURDAY,88
CNN LIVE SUNDAY,CNN LIVE TODAY,83
CNN SATURDAY EVENING,CNN SUNDAY EVENING,89
CNN SATURDAY EVENING,CNN SATURDAY NIGHT,84
CNN SATURDAY EVENING,CNN LIVE SATURDAY,81
INSIDE POLITICS SUNDAY,Inside Politics,81
INSIDE POLITICS SUNDAY,INSIDE POLITICS,81
INSIDE POLITICS,CNN INSIDE POLITICS,88
INSIDE POLITICS,INSIDE POLITICS SUNDAY,81
CNN SHOWBIZ TODAY,Showbiz Today,87
IN THE MONEY,CNN IN THE MONEY,86
CNNGO,CNN Go,91
STUDENT NEWS,CNN STUDENT NEWS,86
NEW DAY SATURDAY,NEW DAY SUNDAY,87
NEW DAY SATURDAY,New Day Sunday,87
NEW DAY SUNDAY,NEW DAY SATURDAY,87
NEW DAY SUNDAY,New Day Saturday,87
CROSSFIRE,CNN CROSSFIRE,82
CNN SPECIAL REPORTS,SPECIAL REPORT,85
CNN Live Event/Special,LIVE EVENT/SPECIAL,90
New Day Saturday,NEW DAY SUNDAY,87
New Day Saturday,New Day Sunday,87
New Day Sunday,NEW DAY SATURDAY,87
New Day Sunday,New Day Saturday,87
CNN Special Reports,SPECIAL REPORT,85
CNN Go,CNNGO,91
CNN Tonight,CNN Insight,82
The Rachel Maddow Show,The Rachel Maddow Show' Friday,86
The Last Word with Lawrence O'Donnell,The Last Word with Lawrence O'Donnell' for,95
The Last Word with Lawrence O'Donnell,The Last Word with Lawrence O'Donnell' Wednesday,88
The Melissa Harris-Perry Show,MELISSA-HARRIS-PERRY,82
The Melissa Harris-Perry Show,MELISSA HARRIS-PERRY,82
Hardball with Chris Matthews,Hardball with Chris Matthews' forTuesday,84
Hardball with Chris Matthews,Hardball with Chris Matthews' forWednesday,81
All In With Chris Hayes,UP WITH CHRIS HAYES,81
All In With Chris Hayes,UP with CHRIS HAYES,81
The Last Word with Lawrence O'Donnell' for,The Last Word with Lawrence O'Donnell,95
The Last Word with Lawrence O'Donnell' for,THE LAST WORD WITH LAWRENCE O' DONNELL,95
The Last Word with Lawrence O'Donnell' for,THE LAST WORD WITH LAWRENCE O'DONNELL,95
The Last Word with Lawrence O'Donnell' for,The Last Word with Lawrence O'Donnell' forTuesday,92
The Last Word with Lawrence O'Donnell' forTuesday,The Last Word with Lawrence O'Donnell' forThursday,97
The Last Word with Lawrence O'Donnell' forTuesday,The Last Word with Lawrence O'Donnell' foThursday,96
The Last Word with Lawrence O'Donnell' forTuesday,The Last Word with Lawrence O'Donnell' for,92
The Last Word with Lawrence O'Donnell' forTuesday,The Last Word with Lawrence O'Donnell,87
The Last Word with Lawrence O'Donnell' foThursday,The Last Word with Lawrence O'Donnell' forThursday,99
The Last Word with Lawrence O'Donnell' foThursday,The Last Word with Lawrence O'Donnell' forTuesday,96
The Last Word with Lawrence O'Donnell' foThursday,The Last Word with Lawrence O'Donnell' for,92
The Last Word with Lawrence O'Donnell' foThursday,The Last Word with Lawrence O'Donnell,87
Hardball with Chris Matthews' forTuesday,Hardball with Chris Matthews' forWednesday,92
Hardball with Chris Matthews' forTuesday,Hardball with Chris Matthews,84
Hardball with Chris Matthews' forWednesday,Hardball with Chris Matthews' forTuesday,92
Hardball with Chris Matthews' forWednesday,Hardball with Chris Matthews,81
The Rachel Maddow Show' Friday,The Rachel Maddow Show,86
The Rachel Maddow Show' Friday,THE RACHEL MADDOW SHOW,86
The Rachel Maddow Show' Friday,The Rachel Maddow Show'forÃÂ  Monday,81
The Last Word with Lawrence O'Donnell' Wednesday,The Last Word with Lawrence O'Donnell,88
The Last Word with Lawrence O'Donnell' Wednesday,THE LAST WORD WITH LAWRENCE O' DONNELL,88
The Last Word with Lawrence O'Donnell' Wednesday,THE LAST WORD WITH LAWRENCE O'DONNELL,88
The Last Word with Lawrence O'Donnell' Wednesday,The Last Word with Lawrence O'Donnell' for,84
The Last Word with Lawrence O'Donnell' forThursday,The Last Word with Lawrence O'Donnell' foThursday,99
The Last Word with Lawrence O'Donnell' forThursday,The Last Word with Lawrence O'Donnell' forTuesday,97
The Last Word with Lawrence O'Donnell' forThursday,The Last Word with Lawrence O'Donnell' for,91
The Last Word with Lawrence O'Donnell' forThursday,The Last Word with Lawrence O'Donnell,86
The Rachel Maddow Show'forÃÂ  Monday,The Rachel Maddow Show' Friday,81
COUNTDOWN,COUNTDOW,94
LESTER HOLT LIVE,LESTER HOLT,81
COUNTDOW,COUNTDOWN,94
COUNTDOW,Countdown,94
LESTER HOLT,LESTER HOLT LIVE,81
AMERICA`S VOICES,AMERICAN STORIES,81
LIVE WITH DAN ABRAMS,VERDICT WITH DAN ABRAMS,84
Countdown,COUNTDOW,94
VERDICT WITH DAN ABRAMS,LIVE WITH DAN ABRAMS,84
THE RACHEL MADDOW SHOW,The Rachel Maddow Show' Friday,86
THE LAST WORD WITH LAWRENCE O' DONNELL,The Last Word with Lawrence O'Donnell' for,95
THE LAST WORD WITH LAWRENCE O' DONNELL,The Last Word with Lawrence O'Donnell' Wednesday,88
THE LAST WORD WITH LAWRENCE O'DONNELL,The Last Word with Lawrence O'Donnell' for,95
THE LAST WORD WITH LAWRENCE O'DONNELL,The Last Word with Lawrence O'Donnell' Wednesday,88
MELISSA-HARRIS-PERRY,The Melissa Harris-Perry Show,82
UP WITH CHRIS HAYES,All In With Chris Hayes,81
UP WITH CHRIS HAYES,ALL IN with CHRIS HAYES,81
MELISSA HARRIS-PERRY,The Melissa Harris-Perry Show,82
UP with CHRIS HAYES,All In With Chris Hayes,81
UP with CHRIS HAYES,ALL IN with CHRIS HAYES,81
ALL IN with CHRIS HAYES,UP WITH CHRIS HAYES,81
ALL IN with CHRIS HAYES,UP with CHRIS HAYES,81
